Year,Category,Nominee,Won?
2011,Best Performance by an Actress In A Television Series - Drama,"Margulies, Julianna in Good Wife, The",no
2011,Best Performance by an Actress In A Television Series - Drama,"Moss, Elisabeth in Mad Men",no
2011,Best Performance by an Actress In A Television Series - Drama,"Perabo, Piper in Covert Affairs",no
2011,Best Performance by an Actress In A Television Series - Drama,"Sagal, Katey in Sons Of Anarchy",yes
2011,Best Performance by an Actress In A Television Series - Drama,"Sedgwick, Kyra in Closer, The",no
2011,Best Performance by an Actor In A Television Series - Drama,"Buscemi, Steve in Boardwalk Empire",yes
2011,Best Performance by an Actor In A Television Series - Drama,"Cranston, Bryan in Breaking Bad",no
2011,Best Performance by an Actor In A Television Series - Drama,"Hall, Michael C. in Dexter",no
2011,Best Performance by an Actor In A Television Series - Drama,"Hamm, Jon in Mad Men",no
2011,Best Performance by an Actor In A Television Series - Drama,"Laurie, Hugh in House",no
2011,Best Television Series - Comedy Or Musical,30 Rock,no
2011,Best Television Series - Comedy Or Musical,"Big Bang Theory, The",no
2011,Best Television Series - Comedy Or Musical,"Big C, The",no
2011,Best Television Series - Comedy Or Musical,Glee,yes
2011,Best Television Series - Comedy Or Musical,Modern Family,no
2011,Best Television Series - Comedy Or Musical,Nurse Jackie,no
2011,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Collette, Toni in United States Of Tara",no
2011,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Falco, Edie in Nurse Jackie",no
2011,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Fey, Tina in 30 Rock",no
2011,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Linney, Laura in Big C, The",yes
2011,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Michele, Lea in Glee",no
2011,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Baldwin, Alec in 30 Rock",no
2011,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Carell, Steve in Office, The",no
2011,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Jane, Thomas in Hung",no
2011,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Morrison, Matthew in Glee",no
2011,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Parsons, Jim in Big Bang Theory, The",yes
2011,Best Mini-Series Or Motion Picture Made for Television,Carlos,yes
2011,Best Mini-Series Or Motion Picture Made for Television,"Pacific, The",no
2011,Best Mini-Series Or Motion Picture Made for Television,Pillars Of The Earth,no
2011,Best Mini-Series Or Motion Picture Made for Television,Temple Grandin,no
2011,Best Mini-Series Or Motion Picture Made for Television,You Don't Know Jack,no
2011,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Atwell, Hayley in Pillars Of The Earth",no
2011,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Danes, Claire in Temple Grandin",yes
2011,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Dench, Judi in Return To Cranford",no
2011,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Garai, Romola in Emma",no
2011,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Hewitt, Jennifer Love in Client List, The",no
2011,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Elba, Idris in Luther",no
2011,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"McShane, Ian in Pillars Of The Earth",no
2011,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Pacino, Al in You Don't Know Jack",yes
2011,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Quaid, Dennis in Special Relationship, The",no
2011,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Ramirez, Edgar in Carlos",no
2011,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Davis, Hope in Special Relationship, The",no
2011,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Lynch, Jane in Glee",yes
2011,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","MacDonald, Kelly in Boardwalk Empire",no
2011,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Stiles, Julia in Dexter",no
2011,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Vergara, Sofia in Modern Family",no
2011,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Caan, Scott in Hawaii Five-O",no
2011,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Colfer, Chris in Glee",yes
2011,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Noth, Chris in Good Wife, The",no
2011,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Stonestreet, Eric in Modern Family",no
2011,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Strathairn, David in Temple Grandin",no
2010,Cecil B. DeMille Award,"Scorsese, Martin",yes
2010,Best Motion Picture - Drama,Avatar,yes
2010,Best Motion Picture - Drama,"Hurt Locker, The",no
2010,Best Motion Picture - Drama,Inglourious Basterds,no
2010,Best Motion Picture - Drama,Precious: Based On The Novel Push By Sapphire,no
2010,Best Motion Picture - Drama,Up In The Air,no
2010,Best Performance by an Actress in a Motion Picture - Drama,"Blunt, Emily in Young Victoria, The",no
2010,Best Performance by an Actress in a Motion Picture - Drama,"Bullock, Sandra in Blind Side, The",yes
2010,Best Performance by an Actress in a Motion Picture - Drama,"Mirren, Helen in Last Station, The",no
2010,Best Performance by an Actress in a Motion Picture - Drama,"Mulligan, Carey in Education, An",no
2010,Best Performance by an Actress in a Motion Picture - Drama,"Sidibe, Gabourey in Precious: Based On The Novel Push By Sapphire",no
2010,Best Performance by an Actor in a Motion Picture - Drama,"Bridges, Jeff in Crazy Heart",yes
2010,Best Performance by an Actor in a Motion Picture - Drama,"Clooney, George in Up In The Air",no
2010,Best Performance by an Actor in a Motion Picture - Drama,"Firth, Colin in Single Man, A",no
2010,Best Performance by an Actor in a Motion Picture - Drama,"Freeman, Morgan in Invictus",no
2010,Best Performance by an Actor in a Motion Picture - Drama,"Maguire, Tobey  in Brothers",no
2010,Best Motion Picture - Comedy Or Musical,(500) Days Of Summer,no
2010,Best Motion Picture - Comedy Or Musical,"Hangover, The",yes
2010,Best Motion Picture - Comedy Or Musical,It's Complicated,no
2010,Best Motion Picture - Comedy Or Musical,Julie & Julia,no
2010,Best Motion Picture - Comedy Or Musical,Nine,no
2010,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Bullock, Sandra in Proposal, The",no
2010,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Cotillard, Marion in Nine",no
2010,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Roberts, Julia in Duplicity",no
2010,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Streep, Meryl in It's Complicated",no
2010,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Streep, Meryl in Julie & Julia",yes
2010,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Damon, Matt in Informant!, The",no
2010,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Day-Lewis, Daniel in Nine",no
2010,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Downey Jr., Robert in Sherlock Holmes",yes
2010,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Gordon-Levitt, Joseph in (500) Days Of Summer",no
2010,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Stuhlbarg, Michael in Serious Man, A",no
2010,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Cruz, Penélope in Nine",no
2010,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Farmiga, Vera in Up In The Air",no
2010,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Kendrick, Anna in Up In The Air",no
2010,Best Performance by an Actress In A Supporting Role in a Motion Picture,Mo'nique in Precious: Based On The Novel Push By Sapphire,yes
2010,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Moore, Julianne in Single Man, A",no
2010,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Damon, Matt in Invictus",no
2010,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Harrelson, Woody in Messenger, The",no
2010,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Plummer, Christopher in Last Station, The",no
2010,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Tucci, Stanley in Lovely Bones, The",no
2010,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Waltz, Christoph in Inglourious Basterds",yes
2010,Best Animated Feature Film,Cloudy With A Chance Of Meatballs,no
2010,Best Animated Feature Film,Coraline,no
2010,Best Animated Feature Film,Fantastic Mr. Fox,no
2010,Best Animated Feature Film,"Princess And The Frog, The",no
2010,Best Animated Feature Film,Up,yes
2010,Best Foreign Language Film,"Baaria from Italy, The Country of",no
2010,Best Foreign Language Film,"Broken Embraces from Spain, The Country of",no
2010,Best Foreign Language Film,"Maid (La Nana), The from Chile, The Country of",no
2010,Best Foreign Language Film,"Prophet (Un Prophete), A from France, The Country of",no
2010,Best Foreign Language Film,"White Ribbon (Das Weisse Band - Eine Deutsche Kindergeschichte), The from Germany, The Country of",yes
2010,Best Director - Motion Picture,"Bigelow, Kathryn for Hurt Locker, The",no
2010,Best Director - Motion Picture,"Cameron, James for Avatar",yes
2010,Best Director - Motion Picture,"Eastwood, Clint for Invictus",no
2010,Best Director - Motion Picture,"Reitman, Jason for Up In The Air",no
2010,Best Director - Motion Picture,"Tarantino, Quentin for Inglourious Basterds",no
2010,Best Screenplay - Motion Picture,"District 9 by Blomkamp, Neill, Tatchell, Terri",no
2010,Best Screenplay - Motion Picture,"Hurt Locker, The by Boal, Mark",no
2010,Best Screenplay - Motion Picture,"Inglourious Basterds by Tarantino, Quentin",no
2010,Best Screenplay - Motion Picture,"It's Complicated by Meyers, Nancy",no
2010,Best Screenplay - Motion Picture,"Up In The Air by Reitman, Jason, Turner, Sheldon",yes
2010,Best Original Score - Motion Picture,"UpComposed by Giacchino, Michael",yes
2010,Best Original Score - Motion Picture,"Informant!, TheComposed by Hamlisch, Marvin",no
2010,Best Original Score - Motion Picture,"AvatarComposed by Horner, James",no
2010,Best Original Score - Motion Picture,"Single Man, AComposed by Korzeniowski, Abel",no
2010,Best Original Score - Motion Picture,"Where The Wild Things AreComposed by Karen O , Carter Burwell",no
2010,Best Original Song - Motion Picture,"'Cinema Italiano' Nine    Music & Lyrics by Yeston, Maury",no
2010,Best Original Song - Motion Picture,"'I See You' Avatar    Lyrics by Harrell, Kuk Music & Lyrics by Franglen, Simon, Horner, James",no
2010,Best Original Song - Motion Picture,"'I Want To Come Home' Everybody's Fine    Music & Lyrics by McCartney, Paul",no
2010,Best Original Song - Motion Picture,"'The Weary Kind (Theme From Crazy Heart)' Crazy Heart    Music & Lyrics by Bingham, Ryan, Burnett, T Bone",yes
2010,Best Original Song - Motion Picture,'Winter' Brothers    Lyrics by Bono Music by U2,no
2010,Best Television Series - Drama,Big Love,no
2010,Best Television Series - Drama,Dexter,no
2010,Best Television Series - Drama,House,no
2010,Best Television Series - Drama,Mad Men,yes
2010,Best Television Series - Drama,True Blood,no
2010,Best Performance by an Actress In A Television Series - Drama,"Close, Glenn in Damages",no
2010,Best Performance by an Actress In A Television Series - Drama,"Jones, January in Mad Men",no
2010,Best Performance by an Actress In A Television Series - Drama,"Margulies, Julianna in Good Wife, The",yes
2010,Best Performance by an Actress In A Television Series - Drama,"Paquin, Anna in True Blood",no
2010,Best Performance by an Actress In A Television Series - Drama,"Sedgwick, Kyra in Closer, The",no
2010,Best Performance by an Actor In A Television Series - Drama,"Baker, Simon in Mentalist, The",no
2010,Best Performance by an Actor In A Television Series - Drama,"Hall, Michael C. in Dexter",yes
2010,Best Performance by an Actor In A Television Series - Drama,"Hamm, Jon in Mad Men",no
2010,Best Performance by an Actor In A Television Series - Drama,"Laurie, Hugh in House",no
2010,Best Performance by an Actor In A Television Series - Drama,"Paxton, Bill in Big Love",no
2010,Best Television Series - Comedy Or Musical,30 Rock,no
2010,Best Television Series - Comedy Or Musical,Entourage,no
2010,Best Television Series - Comedy Or Musical,Glee,yes
2010,Best Television Series - Comedy Or Musical,Modern Family,no
2010,Best Television Series - Comedy Or Musical,"Office, The",no
2010,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Collette, Toni in United States Of Tara",yes
2010,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Cox, Courteney in Cougar Town",no
2010,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Falco, Edie in Nurse Jackie",no
2010,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Fey, Tina in 30 Rock",no
2010,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Michele, Lea in Glee",no
2010,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Baldwin, Alec in 30 Rock",yes
2010,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Carell, Steve in Office, The",no
2010,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Duchovny, David in Californication",no
2010,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Jane, Thomas in Hung",no
2010,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Morrison, Matthew in Glee",no
2010,Best Mini-Series Or Motion Picture Made for Television,Georgia O'Keeffe,no
2010,Best Mini-Series Or Motion Picture Made for Television,Grey Gardens,yes
2010,Best Mini-Series Or Motion Picture Made for Television,Into The Storm,no
2010,Best Mini-Series Or Motion Picture Made for Television,Little Dorrit,no
2010,Best Mini-Series Or Motion Picture Made for Television,Taking Chance,no
