Year,Category,Nominee,Won?
2001,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Redgrave, Vanessa in If These Walls Could Talk 2",yes
2001,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Downey Jr., Robert in Ally McBeal",yes
2001,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Hayes, Sean P. in Will & Grace",no
2001,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Hyde-Pierce, David in Frasier",no
2001,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Mahoney, John in Frasier",no
2001,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Plummer, Christopher in American Tragedy",no
2001,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Whitford, Bradley in West Wing, The",no
2000,Cecil B. DeMille Award,"Streisand, Barbra",yes
2000,Best Motion Picture - Drama,American Beauty,yes
2000,Best Motion Picture - Drama,"End Of The Affair, The",no
2000,Best Motion Picture - Drama,"Hurricane, The",no
2000,Best Motion Picture - Drama,"Insider, The",no
2000,Best Motion Picture - Drama,"Talented Mr. Ripley, The",no
2000,Best Performance by an Actress in a Motion Picture - Drama,"Bening, Annette in American Beauty",no
2000,Best Performance by an Actress in a Motion Picture - Drama,"Moore, Julianne in End Of The Affair, The",no
2000,Best Performance by an Actress in a Motion Picture - Drama,"Streep, Meryl in Music Of The Heart",no
2000,Best Performance by an Actress in a Motion Picture - Drama,"Swank, Hilary in Boys Don't Cry",yes
2000,Best Performance by an Actress in a Motion Picture - Drama,"Weaver, Sigourney in Map Of The World, a",no
2000,Best Performance by an Actor in a Motion Picture - Drama,"Crowe, Russell in Insider, The",no
2000,Best Performance by an Actor in a Motion Picture - Drama,"Damon, Matt in Talented Mr. Ripley, The",no
2000,Best Performance by an Actor in a Motion Picture - Drama,"Farnsworth, Richard in Straight Story, The",no
2000,Best Performance by an Actor in a Motion Picture - Drama,"Spacey, Kevin in American Beauty",no
2000,Best Performance by an Actor in a Motion Picture - Drama,"Washington, Denzel in Hurricane, The",yes
2000,Best Motion Picture - Comedy Or Musical,"Man On The Moon Produced by Shamberg, Michael, Sher, Stacey",no
2000,Best Motion Picture - Comedy Or Musical,"Being John Malkovich Produced by Landay, Vincent, Stern, Sandy, Stipe, Michael",no
2000,Best Motion Picture - Comedy Or Musical,"Toy Story 2 Produced by Plotkin, Helene",yes
2000,Best Motion Picture - Comedy Or Musical,Notting Hill,no
2000,Best Motion Picture - Comedy Or Musical,Analyze This,no
2000,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"McTeer, Janet in Tumbleweeds",yes
2000,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Moore, Julianne in Ideal Husband, An",no
2000,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Roberts, Julia in Notting Hill",no
2000,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Stone, Sharon in Muse, The",no
2000,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Witherspoon, Reese in Election",no
2000,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Carrey, Jim in Man On The Moon",yes
2000,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"De Niro, Robert in Analyze This",no
2000,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Everett, Rupert in Ideal Husband, An",no
2000,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Grant, Hugh in Notting Hill",no
2000,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Penn, Sean in Sweet and Lowdown",no
2000,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Diaz, Cameron in Being John Malkovich",no
2000,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Jolie, Angelina in Girl, Interrupted",yes
2000,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Keener, Catherine in Being John Malkovich",no
2000,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Morton, Samantha in Sweet and Lowdown",no
2000,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Portman, Natalie in Anywhere But Here",no
2000,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Sevigny, Chloë in Boys Don't Cry",no
2000,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Caine, Michael in Cider House Rules, The",no
2000,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Cruise, Tom in Magnolia",yes
2000,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Duncan, Michael Clarke in Green Mile, The",no
2000,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Law, Jude in Talented Mr. Ripley, The",no
2000,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Osment, Haley Joel in Sixth Sense, The",no
2000,Best Foreign Language Film,"Aimee & Jaguar from Germany, The Country of",no
2000,Best Foreign Language Film,"All About My Mother from Spain, The Country of",yes
2000,Best Foreign Language Film,"East-West from France, The Country of",no
2000,Best Foreign Language Film,"Girl On The Bridge from France, The Country of",no
2000,Best Foreign Language Film,"Red Violin, The from Canada, The Country of",no
2000,Best Director - Motion Picture,"Jewison, Norman for Hurricane, The",no
2000,Best Director - Motion Picture,"Jordan, Neil for End Of The Affair, The",no
2000,Best Director - Motion Picture,"Mann, Michael for Insider, The",no
2000,Best Director - Motion Picture,"Mendes, Sam for American Beauty",yes
2000,Best Director - Motion Picture,"Minghella, Anthony for Talented Mr. Ripley, The",no
2000,Best Screenplay - Motion Picture,"American Beauty by Ball, Alan",yes
2000,Best Screenplay - Motion Picture,"Cider House Rules, The by Irving, John",no
2000,Best Screenplay - Motion Picture,"Being John Malkovich by Kaufman, Charlie",no
2000,Best Screenplay - Motion Picture,"Insider, The by Mann, Michael",no
2000,Best Screenplay - Motion Picture,"Sixth Sense, The by Shyamalan, M. Night",no
2000,Best Original Score - Motion Picture,"Straight Story, TheComposed by Badalamenti, Angelo",no
2000,Best Original Score - Motion Picture,"Insider, TheComposed by Bourke, Pieter",no
2000,Best Original Score - Motion Picture,"Anna and The KingComposed by Fenton, George",no
2000,Best Original Score - Motion Picture,"Legend Of 1900, TheComposed by Morricone, Ennio",yes
2000,Best Original Score - Motion Picture,"American BeautyComposed by Newman, Thomas",no
2000,Best Original Score - Motion Picture,"End Of The Affair, TheComposed by Nyman, Michael",no
2000,Best Original Score - Motion Picture,"Eyes Wide ShutComposed by Pook, Jocelyn",no
2000,Best Original Score - Motion Picture,"Angela's AshesComposed by Williams, John",no
2000,Best Original Score - Motion Picture,"Talented Mr. Ripley, TheComposed by Yared, Gabriel",no
2000,Best Original Song - Motion Picture,"'Beautiful Stranger' Austin Powers: The Spy Who Shagged Me    Lyrics by Madonna, Madonna, Orbit, William",no
2000,Best Original Song - Motion Picture,"'How Can I Not Love You' Anna and The King    Music & Lyrics by Edmonds, Kenneth, Fenton, George, Kraft, Robert",no
2000,Best Original Song - Motion Picture,"'Save Me' Magnolia    Music & Lyrics by Mann, Aimee",no
2000,Best Original Song - Motion Picture,"'When She Loved Me' Toy Story 2    Music & Lyrics by Newman, Randy",no
2000,Best Original Song - Motion Picture,"'You'll Be In My Heart' Tarzan    Music & Lyrics by Collins, Phil",yes
2000,Best Television Series - Drama,Er,no
2000,Best Television Series - Drama,Once and Again,no
2000,Best Television Series - Drama,"Practice, The",no
2000,Best Television Series - Drama,"Sopranos, The",yes
2000,Best Television Series - Drama,"West Wing, The",no
2000,Best Performance by an Actress In A Television Series - Drama,"Bracco, Lorraine in Sopranos, The",no
2000,Best Performance by an Actress In A Television Series - Drama,"Brenneman, Amy in Judging Amy",no
2000,Best Performance by an Actress In A Television Series - Drama,"Falco, Edie in Sopranos, The",yes
2000,Best Performance by an Actress In A Television Series - Drama,"Margulies, Julianna in Er",no
2000,Best Performance by an Actress In A Television Series - Drama,"Ward, Sela in Once and Again",no
2000,Best Performance by an Actor In A Television Series - Drama,"Campbell, William O. in Once and Again",no
2000,Best Performance by an Actor In A Television Series - Drama,"Gandolfini, James in Sopranos, The",yes
2000,Best Performance by an Actor In A Television Series - Drama,"Lowe, Rob in West Wing, The",no
2000,Best Performance by an Actor In A Television Series - Drama,"McDermott, Dylan in Practice, The",no
2000,Best Performance by an Actor In A Television Series - Drama,"Sheen, Martin in West Wing, The",no
2000,Best Television Series - Comedy Or Musical,Ally McBeal,no
2000,Best Television Series - Comedy Or Musical,Dharma & Greg,no
2000,Best Television Series - Comedy Or Musical,Sex and The City,yes
2000,Best Television Series - Comedy Or Musical,Spin City,no
2000,Best Television Series - Comedy Or Musical,Will & Grace,no
2000,Best Performance by an Actress In A Television Series - Comedy Or Musical, in Sports Night,no
2000,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Elfman, Jenna in Dharma & Greg",no
2000,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Flockhart, Calista in Ally McBeal",no
2000,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Locklear, Heather in Spin City",no
2000,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Messing, Debra in Will & Grace",no
2000,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Parker, Sarah Jessica in Sex and The City",yes
2000,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Fox, Michael J. in Spin City",yes
2000,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Gibson, Thomas in Dharma & Greg",no
2000,Best Performance by an Actor In A Television Series - Comedy Or Musical,"McCormack, Eric in Will & Grace",no
2000,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Romano, Ray in Everybody Loves Raymond",no
2000,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Segal, George in Just Shoot Me",no
2000,Best Mini-Series Or Motion Picture Made for Television,Dash and Lilly,no
2000,Best Mini-Series Or Motion Picture Made for Television,Introducing Dorothy Dandridge,no
2000,Best Mini-Series Or Motion Picture Made for Television,Joan Of Arc,no
2000,Best Mini-Series Or Motion Picture Made for Television,Rko 281,yes
2000,Best Mini-Series Or Motion Picture Made for Television,Witness Protection,no
2000,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Berry, Halle in Introducing Dorothy Dandridge",yes
2000,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Davis, Judy in Dash and Lilly",no
2000,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Farrow, Mia in Forget Me Never",no
2000,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Mirren, Helen in Passion Of Ayn Rand, The",no
2000,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Sobieski, Leelee in Joan Of Arc",no
2000,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Lemmon, Jack in Inherit The Wind",yes
2000,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Lemmon, Jack in Tuesdays With Morrie",no
2000,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Schreiber, Liev in Rko 281",no
2000,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Shepard, Sam in Dash and Lilly",no
2000,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Sizemore, Tom in Witness Protection",no
2000,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Bates, Kathy in Annie",no
2000,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Bisset, Jacqueline in Joan Of Arc",no
2000,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Cattrall, Kim in Sex and The City",no
2000,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Griffith, Melanie in Rko 281",no
2000,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Marchand, Nancy in Sopranos, The",yes
2000,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Nixon, Cynthia in Sex and The City",no
2000,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Richardson, Miranda in Big Brass Ring, The",no
2000,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Brandauer, Klaus Maria in Introducing Dorothy Dandridge",no
2000,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Fonda, Peter in Passion Of Ayn Rand, The",yes
2000,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Hayes, Sean P. in Will & Grace",no
2000,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Noth, Chris in Sex and The City",no
2000,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","O'Toole, Peter in Joan Of Arc",no
2000,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Spade, David in Just Shoot Me",no
1999,Cecil B. DeMille Award,"Nicholson, Jack",yes
1999,Best Motion Picture - Drama,Elizabeth,no
1999,Best Motion Picture - Drama,Gods and Monsters,no
1999,Best Motion Picture - Drama,"Horse Whisperer, The",no
1999,Best Motion Picture - Drama,Saving Private Ryan,yes
1999,Best Motion Picture - Drama,"Truman Show, The",no
1999,Best Performance by an Actress in a Motion Picture - Drama,"Blanchett, Cate in Elizabeth",yes
1999,Best Performance by an Actress in a Motion Picture - Drama,"Montenegro, Fernanda in Central Station",no
1999,Best Performance by an Actress in a Motion Picture - Drama,"Sarandon, Susan in Stepmom",no
1999,Best Performance by an Actress in a Motion Picture - Drama,"Streep, Meryl in One True Thing",no
1999,Best Performance by an Actress in a Motion Picture - Drama,"Watson, Emily in Hilary and Jackie",no
1999,Best Performance by an Actor in a Motion Picture - Drama,"Carrey, Jim in Truman Show, The",yes
1999,Best Performance by an Actor in a Motion Picture - Drama,"Fry, Stephen in Wilde",no
1999,Best Performance by an Actor in a Motion Picture - Drama,"Hanks, Tom in Saving Private Ryan",no
1999,Best Performance by an Actor in a Motion Picture - Drama,"McKellen, Ian in Gods and Monsters",no
1999,Best Performance by an Actor in a Motion Picture - Drama,"Nolte, Nick in Affliction",no
1999,Best Motion Picture - Comedy Or Musical,"Bulworth Produced by Brugge, Pieter Jan, Pikser, Jeremy",no
1999,Best Motion Picture - Comedy Or Musical,"There's Something About Mary Produced by Steinberg, Michael, Thomas, Bradley, Wessler, Charles B.",no
1999,Best Motion Picture - Comedy Or Musical,"Mask Of Zorro, The Produced by Foster, David",no
1999,Best Motion Picture - Comedy Or Musical,"Patch Adams Produced by Kemp, Barry, Minoff, Marvin, Newirth, Charles",no
1999,Best Motion Picture - Comedy Or Musical,Shakespeare In Love,yes
1999,Best Motion Picture - Comedy Or Musical,Still Crazy,no
1999,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Diaz, Cameron in There's Something About Mary",no
1999,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Horrocks, Jane in Little Voice",no
1999,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Paltrow, Gwyneth in Shakespeare In Love",yes
1999,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Ricci, Christina in Opposite Of Sex, The",no
1999,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Ryan, Meg in You'Ve Got Mail",no
1999,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Banderas, Antonio in Mask Of Zorro, The",no
1999,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Beatty, Warren in Bulworth",no
1999,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Caine, Michael in Little Voice",yes
1999,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Travolta, John in Primary Colors",no
1999,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Williams, Robin in Patch Adams",no
1999,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Bates, Kathy in Primary Colors",no
1999,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Blethyn, Brenda in Little Voice",no
1999,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Dench, Judi in Shakespeare In Love",no
1999,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Redgrave, Lynn in Gods and Monsters",yes
1999,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Stone, Sharon in Mighty, The",no
1999,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Duvall, Robert in Civil Action, a",no
1999,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Harris, Ed in Truman Show, The",yes
1999,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Murray, Bill in Rushmore",no
1999,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Rush, Geoffrey in Shakespeare In Love",no
1999,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Sutherland, Donald in Without Limits",no
1999,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Thornton, Billy Bob in Simple Plan, a",no
1999,Best Foreign Language Film,"Celebration, The from Denmark, The Country of",no
1999,Best Foreign Language Film,"Central Station from Brazil, The Country of",yes
1999,Best Foreign Language Film,"Men With Guns from United States, The Country of",no
1999,Best Foreign Language Film,"Polish Bride, The from Netherlands, The",no
1999,Best Foreign Language Film,"Tango from Argentina, The Country of",no
1999,Best Director - Motion Picture,"Kapur, Shekhar for Elizabeth",no
1999,Best Director - Motion Picture,"Madden, John for Shakespeare In Love",no
1999,Best Director - Motion Picture,"Redford, Robert for Horse Whisperer, The",no
1999,Best Director - Motion Picture,"Spielberg, Steven for Saving Private Ryan",yes
1999,Best Director - Motion Picture,"Weir, Peter for Truman Show, The",no
1999,Best Screenplay - Motion Picture,"Bulworth by Beatty, Warren",no
1999,Best Screenplay - Motion Picture,"Truman Show, The by Niccol, Andrew M.",no
1999,Best Screenplay - Motion Picture,"Shakespeare In Love by Norman, Marc",yes
1999,Best Screenplay - Motion Picture,"Saving Private Ryan by Rodat, Robert",no
1999,Best Screenplay - Motion Picture,"Happiness by Solondz, Todd",no
1999,Best Original Score - Motion Picture,"Truman Show, TheComposed by Dallwitz, Burkhard",yes
1999,Best Original Score - Motion Picture,"MulanComposed by Goldsmith, Jerry",no
1999,Best Original Score - Motion Picture,"Bug's Life, aComposed by Newman, Randy",no
1999,Best Original Score - Motion Picture,"Saving Private RyanComposed by Williams, John H.",no
1999,Best Original Score - Motion Picture,"Prince Of Egypt, TheComposed by Zimmer, Hans",no
1999,Best Original Song - Motion Picture,"'Reflection' Mulan    Lyrics by Zippel, David Music by Wilder, Matthew",no
1999,Best Original Song - Motion Picture,"'The Flame Still Burns' Still Crazy    Music & Lyrics by Difford, Chris, Frederiksen, Marti, Jones, Mick",no
1999,Best Original Song - Motion Picture,"'The Mighty' Mighty, The    Lyrics by Sting Music by Jones, Trevor",no
1999,Best Original Song - Motion Picture,"'The Prayer' Quest For Camelot: The Magic Sword    Music & Lyrics by Foster, David, Renis, Tony, Sager, Carole Bayer, Testa, Alberto",yes
1999,Best Original Song - Motion Picture,"'Uninvited' City Of Angels    Music & Lyrics by Morissette, Alanis",no
1999,Best Original Song - Motion Picture,"'When You Believe' Prince Of Egypt, The    Music & Lyrics by Schwartz, Stephen",no
1999,Best Television Series - Drama,Er,no
1999,Best Television Series - Drama,Felicity,no
1999,Best Television Series - Drama,Law & Order,no
1999,Best Television Series - Drama,"Practice, The",yes
1999,Best Television Series - Drama,"X-Files, The",no
1999,Best Performance by an Actress In A Television Series - Drama,"Anderson, Gillian in X-Files, The",no
1999,Best Performance by an Actress In A Television Series - Drama,"Delaney, Kim in Nypd Blue",no
1999,Best Performance by an Actress In A Television Series - Drama,"Downey, Roma in Touched By an Angel",no
1999,Best Performance by an Actress In A Television Series - Drama,"Margulies, Julianna in Er",no
1999,Best Performance by an Actress In A Television Series - Drama,"Russell, Keri in Felicity",yes
1999,Best Performance by an Actor In A Television Series - Drama,"Duchovny, David in X-Files, The",no
1999,Best Performance by an Actor In A Television Series - Drama,"Edwards, Anthony in Er",no
1999,Best Performance by an Actor In A Television Series - Drama,"Henriksen, Lance in Millennium",no
1999,Best Performance by an Actor In A Television Series - Drama,"McDermott, Dylan in Practice, The",yes
1999,Best Performance by an Actor In A Television Series - Drama,"Smits, Jimmy in Nypd Blue",no
1999,Best Television Series - Comedy Or Musical,Ally McBeal,yes
1999,Best Television Series - Comedy Or Musical,Dharma & Greg,no
1999,Best Television Series - Comedy Or Musical,Frasier,no
1999,Best Television Series - Comedy Or Musical,Just Shoot Me,no
1999,Best Television Series - Comedy Or Musical,Spin City,no
1999,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Applegate, Christina in Jesse",no
1999,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Elfman, Jenna in Dharma & Greg",yes
1999,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Flockhart, Calista in Ally McBeal",no
1999,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Giacomo, Laura San in Just Shoot Me",no
1999,Best Performance by an Actress In A Television Series - Comedy Or Musical,"Parker, Sarah Jessica in Sex and The City",no
1999,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Fox, Michael J. in Spin City",yes
1999,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Gibson, Thomas in Dharma & Greg",no
1999,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Grammer, Kelsey in Frasier",no
1999,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Lithgow, John in 3Rd Rock From The Sun",no
1999,Best Performance by an Actor In A Television Series - Comedy Or Musical,"Segal, George in Just Shoot Me",no
1999,Best Mini-Series Or Motion Picture Made for Television,"Baby Dance, The",no
1999,Best Mini-Series Or Motion Picture Made for Television,From The Earth To The Moon,yes
1999,Best Mini-Series Or Motion Picture Made for Television,Gia,no
1999,Best Mini-Series Or Motion Picture Made for Television,Merlin,no
1999,Best Mini-Series Or Motion Picture Made for Television,"Temptations, The",no
1999,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,Ann-Margret in Life Of The Party: The Pamela Harriman Story,no
1999,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Channing, Stockard in Baby Dance, The",no
1999,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Dern, Laura in Baby Dance, The",no
1999,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Jolie, Angelina in Gia",yes
1999,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Richardson, Miranda in Merlin",no
1999,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Fonda, Peter in Tempest, The",no
1999,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Neill, Sam in Merlin",no
1999,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Paxton, Bill in Bright Shining Lie, a",no
1999,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Reeve, Christopher in Rear Window",no
1999,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Stewart, Patrick in Moby Dick",no
1999,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Tucci, Stanley in Winchell",yes
1999,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Carter, Helena Bonham in Merlin",no
1999,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Dunaway, Faye in Gia",yes
1999,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Krakowski, Jane in Ally McBeal",no
1999,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Malick, Wendie in Just Shoot Me",no
1999,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Manheim, Camryn in Practice, The",yes
1999,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Sullivan, Susan in Dharma & Greg",no
1999,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Cheadle, Don in Rat Pack, The",yes
1999,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Mantegna, Joe in Rat Pack, The",no
1999,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Peck, Gregory in Moby Dick",yes
1999,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Spade, David in Just Shoot Me",no
1999,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Wyle, Noah in Er",no
1998,Cecil B. DeMille Award,"MacLaine, Shirley",yes
1998,Best Motion Picture - Drama,Amistad,no
1998,Best Motion Picture - Drama,"Boxer, The",no
1998,Best Motion Picture - Drama,Good Will Hunting,no
1998,Best Motion Picture - Drama,L. a. Confidential,no
1998,Best Motion Picture - Drama,Titanic,yes
1998,Best Performance by an Actress in a Motion Picture - Drama,"Carter, Helena Bonham in Wings Of The Dove, The",no
1998,Best Performance by an Actress in a Motion Picture - Drama,"Dench, Judi in Mrs Brown",yes
1998,Best Performance by an Actress in a Motion Picture - Drama,"Foster, Jodie in Contact",no
1998,Best Performance by an Actress in a Motion Picture - Drama,"Lange, Jessica in Thousand Acres, a",no
1998,Best Performance by an Actress in a Motion Picture - Drama,"Winslet, Kate in Titanic",no
1998,Best Performance by an Actor in a Motion Picture - Drama,"Damon, Matt in Good Will Hunting",no
1998,Best Performance by an Actor in a Motion Picture - Drama,"Day-Lewis, Daniel in Boxer, The",no
1998,Best Performance by an Actor in a Motion Picture - Drama,"DiCaprio, Leonardo in Titanic",no
1998,Best Performance by an Actor in a Motion Picture - Drama,"Fonda, Peter in Ulee's Gold",yes
1998,Best Performance by an Actor in a Motion Picture - Drama,"Hounsou, Djimon in Amistad",no
1998,Best Motion Picture - Comedy Or Musical,"My Best Friend's Wedding Produced by Zucker, Jerry",no
1998,Best Motion Picture - Comedy Or Musical,as Good as It Gets,yes
1998,Best Motion Picture - Comedy Or Musical,"Wag The Dog Produced by Henkin, Hilary, Levinson, Barry, Mamet, David, Rosenthal, Jane",no
1998,Best Motion Picture - Comedy Or Musical,"Men In Black Produced by Parkes, Walter F.",no
1998,Best Motion Picture - Comedy Or Musical,"Full Monty, The",no
1998,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Adams, Joey Lauren in Chasing Amy",no
1998,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Grier, Pam in Jackie Brown",no
1998,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Hunt, Helen in as Good as It Gets",yes
1998,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Lopez, Jennifer in Selena",no
1998,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Roberts, Julia in My Best Friend's Wedding",no
1998,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Carrey, Jim in Liar Liar",no
1998,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Hoffman, Dustin in Wag The Dog",no
1998,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Jackson, Samuel L. in Jackie Brown",no
1998,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Kline, Kevin in In & Out",no
1998,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Nicholson, Jack in as Good as It Gets",yes
1998,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Basinger, Kim in L. a. Confidential",yes
1998,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Cusack, Joan in In & Out",no
1998,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Moore, Julianne in Boogie Nights",no
1998,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Stuart, Gloria in Titanic",no
1998,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Weaver, Sigourney in Ice Storm, The",no
